SRPT,SRPT-GPU,Ours,Ours-GPU,Tiresias-L,Tiresias-L-GPU,Ours-U,Ours-U-GPU
philly_traces_7f04ca
1,1.138129891476768,1.3690253807125135,1.4283313547314764,1,0.9193239832444425,1.5242632733217822,2.123205426911551
1,0.9941541930651464,1.2461538323841541,1.2461538323841541,1,1.0,1.0,1.0
philly_traces_ed69ec
1,1.0,1.0000697647305818,1.0000697647305818,1,1.0,0.9998445453391066,0.9998445453391066
1,1.0,1.0,1.0,1,1.0,1.0,1.0
philly_traces_e13805
1,0.9999908370128199,0.9988494677994247,0.9988474241139603,1,1.0000009068942204,0.9988433990532085,0.9988399826549326
1,1.0,1.0,1.0,1,1.0,1.0,1.0
philly_traces_2869ce
1,1.0050535344802338,1.0278157247211506,1.0302288041952556,1,0.9954883722304235,1.0409187264961506,1.0324288010083675
1,1.0,1.0,1.0,1,1.0,1.0,1.0
